normalized_description,Existencias,coverage_days,low_stock_flag,stock_rotation
flex radio 2.0 pouch kangaroo 1 sz,5,1.0,1,
flex radio 2.0 pouch ranger green 1 sz,4,0.8,1,
flex shotgun bandolier black 1 sz,2,0.4,1,
flex shotgun bandolier ranger green 1 sz,1,0.2,1,
flex disposable glv pouch black 1 sz,2,0.4,1,
flex disposable glv pouch kangaroo 1 sz,6,1.2,1,
flex disposable glv pouch rngr grn 1 sz,4,0.8,1,
flex flash bang pouch black 1 sz,10,2.0,1,
flex 9.6 pouch kangaroo 1 sz,0,0.0,1,
flex 9.6 pouch ranger green 1 sz,5,1.0,1,
flex 6.9 pouch kangaroo 1 sz,0,0.0,1,
flex 6.9 pouch ranger green 1 sz,2,0.4,1,
flex cuff pouch black 1 sz,4,0.8,1,
flex flashlight pouch ranger green 1 sz,2,0.4,1,
flex gas mask pouch black 1 sz,3,0.6,1,
flex gas mask pouch kangaroo 1 sz,2,0.4,1,
flex gas mask pouch ranger green 1 sz,0,0.0,1,
maverick battle belt black m,1,0.2,1,
maverick battle belt kangaroo m,1,0.2,1,
flex single g36 mag pouch black 1 sz,0,0.0,1,
flex dbl pistol 2.0 pouch black 1 sz,5,1.0,1,
flex dbl pistol 2.0 pouch dark navy 1 sz,2,0.4,1,
flex dbl pistol 2.0 pouch kangaroo 1 sz,2,0.4,1,
flex dbl pistol 2.0 pouch rngr grn 1 sz,3,0.6,1,
edt rescue alert blue 1 sz,10,2.0,1,
edt pry gun mtl grey 1 sz,11,2.2,1,
edt hex tumbld steel 1 sz,1,0.2,1,
flex triple ar mag cover pouch black 1 s,7,1.4,1,
flex sgl mlti cal pch ranger green 1 sz,0,0.0,1,
"36"" single rifle case black 1 sz",2,0.4,1,
"36"" single rifle case kangaroo 1 sz",2,0.4,1,
"42"" single rifle case black 1 sz",1,0.2,1,
42 single rifle case kangaroo 1 sz,1,0.2,1,
tactec trainer wgt vest tungsten 1 sz,0,0.0,1,
lv18 2.0 backpack iron grey 1 sz,0,0.0,1,
lv18 2.0 backpack turbulence 1 sz,0,0.0,1,
lv18 2.0 backpack blueblood 1 sz,0,0.0,1,
abr plate carrier black 1 sz,0,0.0,1,
hardpoint b150 black 1 sz,12,2.4,1,
hardpoint b150 kangaroo 1 sz,16,3.2,1,
hardpoint b175 black 1 sz,20,4.0,1,
hardpoint b175 kangaroo 1 sz,11,2.2,1,
turret card wallet,3,0.6,1,
turret card wallet,3,0.6,1,
tracker bifold 2.0,10,2.0,1,
phantom card wallet,7,1.4,1,
outpost chrono storm 1 sz,4,0.8,1,
outpost chrono tac od 1 sz,4,0.8,1,
steel jacket mltl 2.0 blk stn wsh 1 sz,13,2.6,1,
steel jacket money clip blk stn wsh 1 sz,20,4.0,1,
division digital black 1 sz,0,0.0,1,
packable pocket blanket ranger green 1 s,13,2.6,1,
flex dbl ar 2.0 pouch black 1 sz,8,1.6,1,
flex dbl ar 2.0 pouch kangaroo 1 sz,0,0.0,1,
28 single rifle case black 1 sz,1,0.2,1,
skyweight srvl chest pk sage green 1 sz,16,3.2,1,
skyweight srvl chest pk volcanic 1 sz,8,1.6,1,
aros k9 harness 56786 black m,0,0.0,1,
aros k9 harness 56786 black s,0,0.0,1,
mission ready dog leash fluorscn org 1 s,2,0.4,1,
mission ready dog leash volcanic 1 sz,5,1.0,1,
maverick edc 1.5 belt black l,3,0.6,1,
maverick edc 1.5 belt black m,1,0.2,1,
maverick edc 1.5 belt black xl,0,0.0,1,
maverick edc 1.5 belt kangaroo l,4,0.8,1,
