normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days
stryke pant w/flex-tac tm tdu grn 36 32,8,15517.2,7400.127288,8117.072712000001,1939.65,0
stryke pant w/flex-tac tm tundra 32 30,2,3879.3,1981.803356,1897.4966440000003,1939.65,0
stryke pant w/flex-tac tm tundra 36 32,2,3879.3,2041.418152,1837.8818480000002,1939.65,0
stryke shirt black l,5,8919.03,4961.673595,3957.3564050000004,1783.806,1
stryke shirt black m,4,7413.76,4592.438328,2821.321672,1853.44,0
stryke shirt black s,2,3706.9,1866.510144,1840.389856,1853.45,0
stryke shirt dark navy l,6,11120.7,6094.638024,5026.061976000001,1853.45,0
stryke shirt dark navy m,10,18534.48,10621.743518,7912.736482000001,1853.4479999999999,2
stryke shirt dark navy s,6,11120.7,6153.930454,4966.769546,1853.45,2
stryke shirt khaki l,1,1505.25,969.620551,535.629449,1505.25,1
stryke shirt ranger green l,2,3706.88,1725.078948,1981.801052,1853.44,0
stryke shirt ranger green m,4,7413.780000000001,3664.3200500000003,3749.4599500000004,1853.4450000000002,0
stryke shirt ranger green s,2,3706.9,1725.092092,1981.807908,1853.45,0
stryke shirt storm l,4,7413.8,3974.224792,3439.575208,1853.45,1
stryke shirt tdu green m,2,3706.9,1853.358408,1853.541592,1853.45,1
