normalized_description,pred_cantidad,pred_dias
fast-tac tdu pant dark navy 38 32,122.70365,212.00006
fast-tac tdu pant dark navy 38 32,122.70365,212.00006
fast-tac tdu pant dark navy 40 32,29.072792,212.00006
fast-tac tdu pant dark navy 40 32,29.072792,212.00006
fast-tac tdu pant dark navy 42 30,3.1609528,212.00006
fast-tac tdu pant dark navy 42 30,3.1609528,212.00006
fast-tac tdu pant dark navy 42 32,22.531599,212.00006
fast-tac tdu pant dark navy 42 32,22.533695,212.00006
fast-tac tdu pant dark navy 42 32,22.533695,212.00006
fast-tac tdu pant dark navy 42 34,0.59231013,212.00006
